experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,0.3017972025045879,0.18725615739822388,7.02573028660845,541.941647677171,2.5975158435950942,0.38498321481494757,0.5636352812537396,0.6161606750783427,0.7218350671937487,1536
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,0.09544445126392703,0.020094476640224457,3.3816144589800388,1255.2979300478378,22.560461108521235,0.044325335160028866,0.09911671679791842,0.13716233201560066,0.24486957771749268,1536
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,0.09277643357968841,0.02203800156712532,3.231205792777473,1212.9806976652885,17.722742533993912,0.05642467570027069,0.11319915913128896,0.15161988811005891,0.2672864859856047,1536
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,0.09885329160066847,0.026064664125442505,3.3478622438269667,1146.9721933431886,14.383944680456908,0.06952195814258616,0.13785357573567814,0.18091979947555253,0.3096773936273755,1536
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,0.014842459629463586,0.0055077713914215565,0.20622297446243465,193.04668155077675,7.2620618079430725,0.1377019400890011,0.2678900042617353,0.3290334987469925,0.5628571832937478,256
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,0.04493631243874568,0.016256095841526985,1.2245891983981991,742.6530821153272,7.641213931177613,0.13086925834124458,0.2465348816075907,0.3030210909641593,0.45565580553069124,1536
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,0.03632710219153054,0.012384530156850815,0.998466884830337,755.4501643228831,8.604040405866668,0.11622446581238154,0.2081983964423112,0.26158951873770553,0.4019383844638955,1536
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,0.018164174448399236,0.006607340648770332,0.25423874624539167,195.9079896134556,7.557496114579109,0.13231895654844036,0.2530348306470269,0.3181932940656202,0.5587095966246498,256
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,0.09247607902110183,0.01529302541166544,3.324698960292153,1292.5455010527244,36.56554025314989,0.027348153290688938,0.07048128549349852,0.10588506492961962,0.21967574948168714,1536
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,0.08886907245925965,0.01572018302977085,3.1777940680003667,1278.6456492421703,31.95847874961511,0.031290600777173834,0.07912070804118727,0.1180706444590952,0.22767813618128668,1536
