experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,spectral_entropy,gini_coefficient,rank_90,rank_95,rank_99,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,0.1988017969560381,0.11522216349840164,5.150521290546749,671.2151682553605,2.976929570627583,0.6222699749499518,0.24110646690271698,810,1107,1427,0.33591657991061724,0.49342064877573544,0.5411627600209967,0.6410737120063671,1536
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,0.0739077410600329,0.017010996118187904,2.5964956906391308,1234.227887598654,18.87645191863295,0.9168138193524832,0.1881118868112659,1111,1292,1477,0.05297605738146689,0.11831658128498193,0.16314204098189933,0.2691160064380367,1536
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,0.0712269683865553,0.018066462129354477,2.487724308099132,1219.8756981827885,15.543280692534136,0.9110471806231724,0.19302780326492153,1101,1284,1473,0.06433648209675114,0.12723743458308134,0.17023299029704297,0.2747548413970048,1536
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,0.07728911034566001,0.021964523941278458,2.6255330061540008,1153.9801753540958,12.382063500597946,0.8870955864839835,0.20685181693819477,1068,1263,1466,0.08076198284330466,0.1569439344219636,0.2052102289213037,0.3219053795133164,1536
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,0.01115484926752866,0.003875692607834935,0.15711227741849143,198.37769310961454,8.283783941836193,0.8846649904124125,0.22656621648434072,173,206,242,0.120717779099673,0.23932009330316983,0.29893452016305,0.5447194776814085,256
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,0.03627077726738841,0.013718025758862495,0.9881139386443714,742.1647555391168,6.9908582591717945,0.7717185840072365,0.4307399159275729,598,782,1089,0.14304395296357642,0.26527716191897965,0.327781595376873,0.4673780661250866,1536
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,0.027737571212125996,0.009121608920395374,0.7631440167547494,756.9656054288248,9.246853215770445,0.8069940530592685,0.4703444675352133,583,742,1010,0.10814489823354251,0.20579549894544388,0.2621263383589169,0.39256720903165643,1536
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,0.014680689500948701,0.0056219627149403095,0.20321189213427715,191.60433583959963,6.818941814721742,0.8623961108330601,0.22120425275906008,175,209,245,0.1466503201187392,0.27780882637423127,0.3442445716817122,0.5724889508723001,256
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,0.07124585688677593,0.013189714401960373,2.5384372720727697,1269.44428129875,29.177524653372576,0.931845099614957,0.18437268544393914,1125,1300,1479,0.034272955361359346,0.08707440449067726,0.12956331919924396,0.2476729585717362,1536
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,0.06771858649150268,0.013210989534854889,2.416903134513632,1273.8043308736294,26.275141995052255,0.932402296226207,0.18281887551293274,1128,1301,1479,0.038058785759875445,0.09100081821188216,0.13552872634828414,0.24085819728155797,1536
