experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,spectral_entropy,gini_coefficient,rank_90,rank_95,rank_99,sv_at_rank_90,sv_at_rank_95,sv_at_rank_99,sv_sum_at_rank_90,sv_sum_at_rank_95,sv_sum_at_rank_99,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,0.19903840713366638,0.13160085678100586,3.9575109864817932,395.3397501587678,2.2874749214797934,0.48470316093941235,0.368752258934822,291,640,1262,0.0029941697139292955,0.0019477780442684889,0.0013070876011624932,1.8182373302988708,2.6430031440686435,3.629146363120526,0.43716326269189815,0.6127827224692007,0.6674217171240496,0.7861785575197601,1536
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,0.08305326997091786,0.027910491451621056,2.327198689104989,785.1514822348548,8.854794873686867,0.7641411562175072,0.33137300757931,704,985,1368,0.0012358406092971563,0.0009853779338300228,0.0007080116192810237,1.5860923235304654,1.8964926132466644,2.219836358795874,0.11293316381293318,0.253921395758857,0.34972807379402643,0.5417348470380113,1536
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,0.08429957545258326,0.03256045654416084,2.0524602243167465,592.7870725520266,6.7030090154734205,0.7061101453676466,0.45256690862843785,424,640,1135,0.0015109262894839048,0.001071159727871418,0.0005213917465880513,1.2438094209646806,1.5197020394261926,1.8862492936314084,0.14918673057004264,0.29779006082459,0.3987917411425004,0.6054097654513337,1536
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,0.08530717196785625,0.03421694412827492,2.0369893986462557,570.1727374208074,6.215680009147846,0.6937646028782198,0.45777601028205406,403,620,1121,0.0015303161926567554,0.0010769071523100138,0.0005220772000029683,1.2128614482935518,1.4925489629385993,1.8657161159208044,0.1608834429263191,0.31339526055592676,0.41368340068997034,0.6211818143268101,1536
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,0.015686550891543267,0.008968845941126347,0.14408049763733288,84.36367190427818,3.059016343477739,0.5765327177195214,0.4644636302664773,55,100,187,0.0006262300303205848,0.00043902566540054977,0.0002468809543643147,0.07932653132593259,0.10260860936250538,0.1315376979764551,0.32690247050563925,0.6110912740551421,0.7233040998698143,0.8923102127352468,256
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,0.03704561914438834,0.01756502501666546,0.7223456203537495,380.20372966082147,4.448116669095578,0.606024676625925,0.5794510755925888,245,408,781,0.0007848295499570668,0.0005325912497937679,0.0002561344299465418,0.3916008671512827,0.49674800381762907,0.6367625377024524,0.224814247105467,0.42150842021282864,0.5246232256452245,0.7171826794802421,1536
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,0.034408933024856966,0.017222898080945015,0.5981089749030783,302.14695833212784,3.9914431562449604,0.5608038889475374,0.6273847198134181,179,330,680,0.0007676019449718297,0.0005098220426589251,0.00024580946774221957,0.30151125363772735,0.3952027878840454,0.5209218802920077,0.25053594924317363,0.46461043178562267,0.5804860460937469,0.7772655294808067,1536
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,0.014866211119609172,0.007205639500170946,0.1730856445065001,135.55686205826788,4.25652835855868,0.723762577132051,0.338878772617637,119,166,229,0.0005369728896766901,0.00043111186823807657,0.0003147460811305791,0.11942953336983919,0.14198262130958028,0.16542968738940544,0.23493324036929802,0.44387380372582125,0.5389510096531488,0.7670566578355713,256
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,0.08045528627046622,0.022217465564608574,2.354855243349448,856.6812508724097,13.113545802394047,0.8003324702189315,0.31767649051356495,767,1037,1389,0.0012114424025639892,0.0009841519640758634,0.0007257387624122202,1.662127511226572,1.957330905017443,2.2577238873927854,0.07625702575556925,0.19310940034790902,0.2840757740674796,0.5018054910320583,1536
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,0.08130084325244352,0.024963263422250748,2.218706603583996,744.7485249182448,10.606873296081792,0.7634445766563545,0.36855665575458474,618,898,1318,0.0012343209236860275,0.0009481864981353283,0.0006395603413693607,1.466327941045165,1.769146928039845,2.1001465396257117,0.09427849019082775,0.22484268727693346,0.333195445133571,0.5484967640764326,1536
