experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
muon_rs,Muon + RS,11,k_proj,attn,model.layers.11.self_attn.k_proj.weight,393216,393192,24,6.103515625e-05,49969,343247,0.8729222615559896
muon_rs,Muon + RS,11,o_proj,attn,model.layers.11.self_attn.o_proj.weight,2359296,2359164,132,5.594889322912966e-05,317917,2041379,0.8652492099338107
muon_rs,Muon + RS,11,q_proj,attn,model.layers.11.self_attn.q_proj.weight,2359296,2359090,206,8.731418185758955e-05,224212,2135084,0.9049665662977431
muon_rs,Muon + RS,11,v_proj,attn,model.layers.11.self_attn.v_proj.weight,393216,393197,19,4.831949869787966e-05,62451,330765,0.8411788940429688
muon_rs,Muon + RS,12,down_proj,mlp,model.layers.12.mlp.down_proj.weight,13762560,13761911,649,4.715692429313467e-05,2068109,11694451,0.8497293381463914
muon_rs,Muon + RS,12,gate_proj,mlp,model.layers.12.mlp.gate_proj.weight,13762560,13759948,2612,0.0001897902715773947,1706458,12056102,0.8760072253999256
muon_rs,Muon + RS,12,up_proj,mlp,model.layers.12.mlp.up_proj.weight,13762560,13761227,1333,9.685698009676003e-05,1920104,11842456,0.8604835146949404
muon_rs,Muon + RS,12,k_proj,attn,model.layers.12.self_attn.k_proj.weight,393216,393196,20,5.086263020837034e-05,56408,336808,0.8565470377604166
muon_rs,Muon + RS,12,o_proj,attn,model.layers.12.self_attn.o_proj.weight,2359296,2359145,151,6.400214301216511e-05,304548,2054748,0.8709157307942709
muon_rs,Muon + RS,12,q_proj,attn,model.layers.12.self_attn.q_proj.weight,2359296,2359102,194,8.222791883683023e-05,242063,2117233,0.8974003261990018
muon_rs,Muon + RS,12,v_proj,attn,model.layers.12.self_attn.v_proj.weight,393216,393202,14,3.560384114587034e-05,61807,331409,0.8428166707356771
muon_rs,Muon + RS,13,down_proj,mlp,model.layers.13.mlp.down_proj.weight,13762560,13761909,651,4.7302246093727796e-05,2032577,11729983,0.8523111252557664
muon_rs,Muon + RS,13,gate_proj,mlp,model.layers.13.mlp.gate_proj.weight,13762560,13761688,872,6.336030505948997e-05,1824650,11937910,0.8674192882719494
muon_rs,Muon + RS,13,up_proj,mlp,model.layers.13.mlp.up_proj.weight,13762560,13761855,705,5.122593470985315e-05,1905935,11856625,0.8615130469912574
muon_rs,Muon + RS,13,k_proj,attn,model.layers.13.self_attn.k_proj.weight,393216,393188,28,7.120768229162966e-05,44956,348260,0.8856709798177084
muon_rs,Muon + RS,13,o_proj,attn,model.layers.13.self_attn.o_proj.weight,2359296,2359155,141,5.976359049475466e-05,315166,2044130,0.8664152357313368
muon_rs,Muon + RS,13,q_proj,attn,model.layers.13.self_attn.q_proj.weight,2359296,2359099,197,8.349948459196455e-05,222382,2136914,0.9057422214084201
muon_rs,Muon + RS,13,v_proj,attn,model.layers.13.self_attn.v_proj.weight,393216,393202,14,3.560384114587034e-05,65957,327259,0.8322626749674479
muon_rs,Muon + RS,14,down_proj,mlp,model.layers.14.mlp.down_proj.weight,13762560,13761920,640,4.650297619046562e-05,2038617,11723943,0.8518722534179688
muon_rs,Muon + RS,14,gate_proj,mlp,model.layers.14.mlp.gate_proj.weight,13762560,13761812,748,5.43503534226053e-05,1923405,11839155,0.860243661063058
muon_rs,Muon + RS,14,up_proj,mlp,model.layers.14.mlp.up_proj.weight,13762560,13761872,688,4.99906994048116e-05,1926754,11835806,0.8600003197079613
muon_rs,Muon + RS,14,k_proj,attn,model.layers.14.self_attn.k_proj.weight,393216,393078,138,0.0003509521484375,59903,333313,0.8476587931315104
muon_rs,Muon + RS,14,o_proj,attn,model.layers.14.self_attn.o_proj.weight,2359296,2357212,2084,0.0008833143446180802,303373,2055923,0.8714137607150607
muon_rs,Muon + RS,14,q_proj,attn,model.layers.14.self_attn.q_proj.weight,2359296,2356641,2655,0.001125335693359375,211645,2147651,0.9102931552463107
muon_rs,Muon + RS,14,v_proj,attn,model.layers.14.self_attn.v_proj.weight,393216,393199,17,4.323323567712034e-05,69374,323842,0.8235727945963541
muon_rs,Muon + RS,15,down_proj,mlp,model.layers.15.mlp.down_proj.weight,13762560,13761871,689,5.006336030510816e-05,2009866,11752694,0.8539613269624255
muon_rs,Muon + RS,15,gate_proj,mlp,model.layers.15.mlp.gate_proj.weight,13762560,13757775,4785,0.0003476824079241547,1791103,11971457,0.8698568434942336
muon_rs,Muon + RS,15,up_proj,mlp,model.layers.15.mlp.up_proj.weight,13762560,13758402,4158,0.0003021240234375444,1741534,12021026,0.8734585716610863
muon_rs,Muon + RS,15,k_proj,attn,model.layers.15.self_attn.k_proj.weight,393216,393186,30,7.62939453125e-05,64024,329192,0.8371785481770834
muon_rs,Muon + RS,15,o_proj,attn,model.layers.15.self_attn.o_proj.weight,2359296,2359159,137,5.8068169487834886e-05,290792,2068504,0.8767462836371528
muon_rs,Muon + RS,15,q_proj,attn,model.layers.15.self_attn.q_proj.weight,2359296,2359048,248,0.00010511610243058023,224275,2135021,0.9049398634168837
muon_rs,Muon + RS,15,v_proj,attn,model.layers.15.self_attn.v_proj.weight,393216,393197,19,4.831949869787966e-05,57618,335598,0.8534698486328125
muon_rs,Muon + RS,16,down_proj,mlp,model.layers.16.mlp.down_proj.weight,13762560,13761869,691,5.0208682105701286e-05,1975711,11786849,0.8564430600120908
muon_rs,Muon + RS,16,gate_proj,mlp,model.layers.16.mlp.gate_proj.weight,13762560,13761682,878,6.379627046126934e-05,1838896,11923664,0.8663841610863096
muon_rs,Muon + RS,16,up_proj,mlp,model.layers.16.mlp.up_proj.weight,13762560,13761797,763,5.544026692705373e-05,1771482,11991078,0.8712825230189732
muon_rs,Muon + RS,16,k_proj,attn,model.layers.16.self_attn.k_proj.weight,393216,393193,23,5.849202473962034e-05,51895,341321,0.8680241902669271
