experiment,experiment_label,layer,component,type,param_name,spectral_norm_base,spectral_norm_exp,spectral_norm_change,spectral_norm_rel_change,nuclear_norm_change,frobenius_change,effective_rank_base,effective_rank_exp,effective_rank_change,top10_energy_change,top30_rel_change
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,103.61547088623047,103.62118530273438,0.00571441650390625,5.515022472059858e-05,-0.4171159267425537,0.020823973346574924,88.15806397828281,88.14917691701439,-0.008887061268424645,2.6942602019741635e-05,5.2143541258678236e-05
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,5.5577826499938965,5.557575225830078,-0.00020742416381835938,-3.7321388201207756e-05,-0.01747763156890869,0.0028181335949062384,478.7068812810931,478.7216031228443,0.014721841751168085,-6.420265432627303e-07,3.326574547398016e-05
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,9.040079116821289,9.039093971252441,-0.0009851455688476562,-0.0001089753260029053,0.008961617946624756,0.0026992579580440877,315.55635843302076,315.5917414666739,0.03538303365314732,-1.125660221784619e-06,2.9238177232071145e-05
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,4.161773681640625,4.161569595336914,-0.0002040863037109375,-4.903829937010992e-05,0.007695898413658142,0.002160267292246972,580.4685034049537,580.498819266987,0.03031586203326242,-6.640297348127489e-07,2.7146327342148512e-05
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,3.344952344894409,3.3449079990386963,-4.4345855712890625e-05,-1.3257544843823628e-05,-0.00041961669921875,0.0005095530710894303,115.36894382788941,115.37034790771429,0.0014040798248800002,2.2098308742612982e-07,1.1861925453636222e-05
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,2.1647655963897705,2.1647789478302,1.33514404296875e-05,6.1676148456692056e-06,0.001975609724468086,0.0015643749372304652,385.913530430593,385.9120628942465,-0.0014675363465244118,1.7525558546893638e-06,4.658233261570293e-05
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,25.96732521057129,25.967817306518555,0.000492095947265625,1.8950582829582038e-05,0.0020860464428551495,0.002628098728963125,49.337537528160254,49.33668290277681,-0.0008546253834467166,1.1160474900739903e-05,5.402488391386993e-05
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,0.940507709980011,0.9405305981636047,2.288818359375e-05,2.433598720231273e-05,-0.0013324692845344543,0.0005697710268631482,146.27809844806748,146.2731219919408,-0.00497645612668407,2.3160181706061156e-06,4.380201040740821e-05
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,6.005411148071289,6.00544548034668,3.4332275390625e-05,5.716890075320027e-06,0.0013375282287597656,0.0027642511659102934,447.0539693280907,447.0516363035372,-0.0023330245535362337,6.71246158271549e-07,2.9044872365692682e-05
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,8.50372314453125,8.503687858581543,-3.528594970703125e-05,-4.1494706621209406e-06,-0.01389274001121521,0.002542390421455333,362.4731788870447,362.473049233926,-0.00012965311867674245,9.59239653174071e-07,1.920427592859208e-05
