experiment,experiment_label,layer,component,type,param_name,condition_number_base,condition_number_exp,condition_number_diff,condition_number_log_ratio
adamw_fp32,AdamW + FP32,-1,embed,embed,model.embed_tokens.weight,69.18641058154057,69.14822396434208,-0.038186617198491035,-0.00023976985384092773
adamw_fp32,AdamW + FP32,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,10.546793843948734,10.550240317733772,0.003446473785038151,0.00014189525870892308
adamw_fp32,AdamW + FP32,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,50.790417231602824,50.78999327562696,-0.00042395597586164513,-3.6251426819152957e-06
adamw_fp32,AdamW + FP32,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,30.557746350661454,30.559122482384115,0.001376131722661711,1.9557494519525392e-05
adamw_fp32,AdamW + FP32,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,18.73935745084044,18.747582956587884,0.008225505747443407,0.0001905886036834864
adamw_fp32,AdamW + FP32,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,38555.79005042446,36680.08334548745,-1875.706704937009,-0.021659292907439277
adamw_fp32,AdamW + FP32,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,184976.8751259078,189983.07752357158,5006.2023976637865,0.011597480007970767
adamw_fp32,AdamW + FP32,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,7.7755061789352835,7.766634223032175,-0.008871955903108741,-0.0004958186982309322
adamw_fp32,AdamW + FP32,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,8.998430005007657,9.00054089037434,0.002110885366683135,0.00010186647627935449
adamw_fp32,AdamW + FP32,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,33.91668364456576,33.91725507601874,0.0005714314529825515,7.316972344570588e-06
adamw_fp32,AdamW + FP32,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,37.735381088331756,37.73582813265473,0.00044704432297493213,5.144978718119691e-06
adamw_fp32,AdamW + FP32,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,30.087513316132128,30.08708972258942,-0.0004235935427097104,-6.11435153307621e-06
adamw_fp32,AdamW + FP32,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,49034.98587834326,35813.216512793246,-13221.769365550012,-0.13646272626192188
adamw_fp32,AdamW + FP32,1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,1074758.1049613138,4885311.726073167,3810553.6211118535,0.6575815518648499
adamw_fp32,AdamW + FP32,1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,3.341969736117407,3.341879626216254,-9.010990115321249e-05,-1.171008821911385e-05
adamw_fp32,AdamW + FP32,10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,13.491719978091211,13.491811636408729,9.165831751722919e-05,2.9504441513818127e-06
adamw_fp32,AdamW + FP32,10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,16.210019773701827,16.209435062106056,-0.0005847115957706706,-1.5665718061078405e-05
adamw_fp32,AdamW + FP32,10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,8.538043575643336,8.537849869124205,-0.00019370651913064307,-9.85315030723815e-06
adamw_fp32,AdamW + FP32,10,k_proj,attn,model.layers.10.self_attn.k_proj.weight,24.034098760920294,24.023811066921983,-0.010287693998311198,-0.00018593770803718686
adamw_fp32,AdamW + FP32,10,o_proj,attn,model.layers.10.self_attn.o_proj.weight,15508.710116684786,14117.632692032663,-1391.0774246521232,-0.0408138000001138
adamw_fp32,AdamW + FP32,10,q_proj,attn,model.layers.10.self_attn.q_proj.weight,12813.850813777506,12915.341209528622,101.49039575111601,0.0034262208784503327
