experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,spectral_entropy,gini_coefficient,rank_90,rank_95,rank_99,sv_at_rank_90,sv_at_rank_95,sv_at_rank_99,sv_sum_at_rank_90,sv_sum_at_rank_95,sv_sum_at_rank_99,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
adamw_fp32,AdamW + FP32,-1,embed,embed,model.embed_tokens.weight,0.2315434145603828,0.2210976928472519,1.6881109391106293,53.15414065073472,1.0967217226050456,0.08638128367095003,0.4327827650651528,1,3,342,0.2210976928472519,0.017668789252638817,0.0010752828093245625,0.2210976928472519,0.2834180612117052,0.9159304078202695,0.9118083278451873,0.9621243586802578,0.9682211163389867,0.9778328586784412,1536
adamw_fp32,AdamW + FP32,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,0.05004047362827359,0.020224038511514664,1.1317553916742327,511.51964921687744,6.122193557130006,0.6516194349952572,0.4269547686829047,361,648,1203,0.0008005630224943161,0.0005464997375383973,0.00032150832703337073,0.6195840202854015,0.8080817954614758,1.040992663212819,0.16334014772129896,0.3522303069068157,0.47225401637846287,0.70763150175292,1536
adamw_fp32,AdamW + FP32,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,0.05012682206278128,0.02280205860733986,1.0259592194252036,418.90915597189667,4.8327266265171485,0.6093967323268583,0.4864568101376452,245,465,1043,0.0009453014354221523,0.0006026343326084316,0.00028308123000897467,0.5163989016436972,0.6812613214133307,0.9163727985578589,0.2069225257876174,0.4032078746129325,0.5200699972392554,0.7455953840653692,1536
adamw_fp32,AdamW + FP32,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,0.05042080222472548,0.02372250333428383,0.9918893632238905,386.99643424901757,4.517503210272962,0.5900790081622836,0.4972709722547197,212,420,1003,0.0009917301358655095,0.0006154969451017678,0.00027762545505538583,0.4793886753031984,0.6403531475225464,0.8774002981954254,0.2213612151344939,0.42562110416738236,0.5467644126618026,0.7668483832396816,1536
adamw_fp32,AdamW + FP32,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,0.008770521056389785,0.005409211851656437,0.0697921250557556,63.323083281345,2.628952923505812,0.5053941456481617,0.5262532257175043,29,64,158,0.0004400520701892674,0.00025602616369724274,0.00012284294643905014,0.03334566441481002,0.04484962605056353,0.06139760981022846,0.3803795766211214,0.6826893185735741,0.798540738842302,0.9365934181692082,256
adamw_fp32,AdamW + FP32,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,0.021017129839269337,0.011152135208249092,0.3334767557920415,251.75860370573386,3.5516549130554984,0.5210322982378564,0.6349675660575014,118,244,613,0.0005356703186407685,0.00032854703022167087,0.00013852879055775702,0.1500805449904874,0.20226642020861618,0.2806412685458781,0.2815588857814166,0.49991146292282174,0.6243162465755646,0.8275507048128513,1536
adamw_fp32,AdamW + FP32,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,0.01893962473865198,0.01127620693296194,0.2785531823363123,216.30846189754863,2.821088206571524,0.4806705136621717,0.6669307416843682,98,210,552,0.0005212605465203524,0.0003118240274488926,0.00012958225852344185,0.12099397962447256,0.16516934169339947,0.23307933466276154,0.35447314184312684,0.5603313101652682,0.6648964827607902,0.8460021693364751,1536
adamw_fp32,AdamW + FP32,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,0.008759820204094378,0.004335539881139994,0.08679450042836834,98.17344496270901,4.082291508997407,0.6304904316502034,0.42892876184167883,68,118,207,0.00032971618929877877,0.0002321072679478675,0.00014375161845237017,0.050616905791684985,0.06434926448855549,0.08074545353883877,0.24496045855519902,0.5505621177024277,0.6789972072344114,0.8703194844882173,256
adamw_fp32,AdamW + FP32,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,0.04989293968550653,0.01722903735935688,1.176776448948658,556.3008837141489,8.386025160665957,0.6839155693606151,0.4216591765480395,402,692,1228,0.0007846757653169334,0.0005477081867866218,0.000330286449752748,0.6723372769192792,0.8612439157441258,1.0898106226231903,0.11924600521000432,0.30185550360876073,0.4222290680060299,0.678301557135365,1536
adamw_fp32,AdamW + FP32,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,0.04991413737472578,0.01846502721309662,1.1215348586156324,504.86866074565575,7.307136763183543,0.6590628949247443,0.44268054257062195,336,613,1178,0.0008241708273999393,0.0005482680280692875,0.000314086937578395,0.6093599158339202,0.7939928111154586,1.0280615254014265,0.13685250904819854,0.3341332692926966,0.4608644805781394,0.703426640524019,1536
