experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_bf16,AdamW + BF16,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,13762560,289858,13472702,0.9789386567615327,289858,13472702,0.9789386567615327
adamw_bf16,AdamW + BF16,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,393216,4816,388400,0.9877522786458334,4816,388400,0.9877522786458334
adamw_bf16,AdamW + BF16,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,2359296,60208,2299088,0.9744805230034722,60208,2299088,0.9744805230034722
adamw_bf16,AdamW + BF16,1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,2359296,36354,2322942,0.9845911661783854,36354,2322942,0.9845911661783854
adamw_bf16,AdamW + BF16,1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,393216,12145,381071,0.9691136678059896,12145,381071,0.9691136678059896
adamw_bf16,AdamW + BF16,10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,13762560,296777,13465783,0.9784359159923736,296777,13465783,0.9784359159923736
adamw_bf16,AdamW + BF16,10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,13762560,259456,13503104,0.981147693452381,259456,13503104,0.981147693452381
adamw_bf16,AdamW + BF16,10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,13762560,276758,13485802,0.9798905145554315,276758,13485802,0.9798905145554315
adamw_bf16,AdamW + BF16,10,k_proj,attn,model.layers.10.self_attn.k_proj.weight,393216,7676,385540,0.9804789225260416,7676,385540,0.9804789225260416
adamw_bf16,AdamW + BF16,10,o_proj,attn,model.layers.10.self_attn.o_proj.weight,2359296,57327,2301969,0.975701649983724,57327,2301969,0.975701649983724
adamw_bf16,AdamW + BF16,10,q_proj,attn,model.layers.10.self_attn.q_proj.weight,2359296,49665,2309631,0.978949228922526,49665,2309631,0.978949228922526
adamw_bf16,AdamW + BF16,10,v_proj,attn,model.layers.10.self_attn.v_proj.weight,393216,8861,384355,0.9774653116861979,8861,384355,0.9774653116861979
adamw_bf16,AdamW + BF16,11,down_proj,mlp,model.layers.11.mlp.down_proj.weight,13762560,300947,13461613,0.9781329200381325,300947,13461613,0.9781329200381325
adamw_bf16,AdamW + BF16,11,gate_proj,mlp,model.layers.11.mlp.gate_proj.weight,13762560,261480,13501080,0.9810006277901786,261480,13501080,0.9810006277901786
adamw_bf16,AdamW + BF16,11,up_proj,mlp,model.layers.11.mlp.up_proj.weight,13762560,277774,13484786,0.9798166910807292,277774,13484786,0.9798166910807292
adamw_bf16,AdamW + BF16,11,k_proj,attn,model.layers.11.self_attn.k_proj.weight,393216,6929,386287,0.9823786417643229,6929,386287,0.9823786417643229
adamw_bf16,AdamW + BF16,11,o_proj,attn,model.layers.11.self_attn.o_proj.weight,2359296,60119,2299177,0.9745182461208768,60119,2299177,0.9745182461208768
adamw_bf16,AdamW + BF16,11,q_proj,attn,model.layers.11.self_attn.q_proj.weight,2359296,46169,2313127,0.9804310268825955,46169,2313127,0.9804310268825955
adamw_bf16,AdamW + BF16,11,v_proj,attn,model.layers.11.self_attn.v_proj.weight,393216,8649,384567,0.9780044555664062,8649,384567,0.9780044555664062
adamw_bf16,AdamW + BF16,12,down_proj,mlp,model.layers.12.mlp.down_proj.weight,13762560,309496,13453064,0.977511742001488,309496,13453064,0.977511742001488
adamw_bf16,AdamW + BF16,12,gate_proj,mlp,model.layers.12.mlp.gate_proj.weight,13762560,257179,13505381,0.9813131423223587,257179,13505381,0.9813131423223587
adamw_bf16,AdamW + BF16,12,up_proj,mlp,model.layers.12.mlp.up_proj.weight,13762560,285020,13477540,0.9792901901971727,285020,13477540,0.9792901901971727
adamw_bf16,AdamW + BF16,12,k_proj,attn,model.layers.12.self_attn.k_proj.weight,393216,7546,385670,0.9808095296223959,7546,385670,0.9808095296223959
adamw_bf16,AdamW + BF16,12,o_proj,attn,model.layers.12.self_attn.o_proj.weight,2359296,58701,2300595,0.9751192728678385,58701,2300595,0.9751192728678385
adamw_bf16,AdamW + BF16,12,q_proj,attn,model.layers.12.self_attn.q_proj.weight,2359296,49821,2309475,0.9788831075032552,49821,2309475,0.9788831075032552
adamw_bf16,AdamW + BF16,12,v_proj,attn,model.layers.12.self_attn.v_proj.weight,393216,8613,384603,0.9780960083007812,8613,384603,0.9780960083007812
adamw_bf16,AdamW + BF16,13,down_proj,mlp,model.layers.13.mlp.down_proj.weight,13762560,300854,13461706,0.9781396775018601,300854,13461706,0.9781396775018601
adamw_bf16,AdamW + BF16,13,gate_proj,mlp,model.layers.13.mlp.gate_proj.weight,13762560,268521,13494039,0.9804890223911831,268521,13494039,0.9804890223911831
adamw_bf16,AdamW + BF16,13,up_proj,mlp,model.layers.13.mlp.up_proj.weight,13762560,279173,13483387,0.9797150384812128,279173,13483387,0.9797150384812128
adamw_bf16,AdamW + BF16,13,k_proj,attn,model.layers.13.self_attn.k_proj.weight,393216,6726,386490,0.9828948974609375,6726,386490,0.9828948974609375
adamw_bf16,AdamW + BF16,13,o_proj,attn,model.layers.13.self_attn.o_proj.weight,2359296,60879,2298417,0.9741961161295573,60879,2298417,0.9741961161295573
adamw_bf16,AdamW + BF16,13,q_proj,attn,model.layers.13.self_attn.q_proj.weight,2359296,47002,2312294,0.9800779554578993,47002,2312294,0.9800779554578993
