experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16,n_changed_thresh,sparsity_thresh,n_changed_bf16_thresh,sparsity_bf16_thresh
adamw_grpo_fp32,AdamW + GRPO (FP32),25,gate_proj,mlp,model.layers.25.mlp.gate_proj.weight,13762560,13762039,521,3.785632905506375e-05,2344682,11417878,0.829633294968378,7023077,0.48969690232049856,1941981,0.8588939121791295
adamw_grpo_fp32,AdamW + GRPO (FP32),25,up_proj,mlp,model.layers.25.mlp.up_proj.weight,13762560,13762061,499,3.6257789248539396e-05,2509645,11252915,0.8176469348725819,7625586,0.4459180559430803,2149097,0.8438446771530879
adamw_grpo_fp32,AdamW + GRPO (FP32),25,k_proj,attn,model.layers.25.self_attn.k_proj.weight,393216,393207,9,2.288818359375e-05,93560,299656,0.7620646158854166,209572,0.46703084309895837,76973,0.8042475382486979
adamw_grpo_fp32,AdamW + GRPO (FP32),25,o_proj,attn,model.layers.25.self_attn.o_proj.weight,2359296,2359225,71,3.0093722873214546e-05,451032,1908264,0.8088277180989584,1420690,0.39783308241102433,400803,0.8301175435384115
adamw_grpo_fp32,AdamW + GRPO (FP32),25,q_proj,attn,model.layers.25.self_attn.q_proj.weight,2359296,2359217,79,3.3484564887165114e-05,489466,1869830,0.7925372653537326,1118711,0.5258284674750434,380501,0.838722652859158
adamw_grpo_fp32,AdamW + GRPO (FP32),25,v_proj,attn,model.layers.25.self_attn.v_proj.weight,393216,393196,20,5.086263020837034e-05,72784,320432,0.8149007161458334,250537,0.3628514607747396,65523,0.8333663940429688
adamw_grpo_fp32,AdamW + GRPO (FP32),26,down_proj,mlp,model.layers.26.mlp.down_proj.weight,13762560,13762119,441,3.2043457031227796e-05,2733750,11028810,0.8013632638113839,7843253,0.4301021757579985,2378667,0.8271639142717634
adamw_grpo_fp32,AdamW + GRPO (FP32),26,gate_proj,mlp,model.layers.26.mlp.gate_proj.weight,13762560,13762068,492,3.5749162946463464e-05,2396420,11366140,0.8258739653087798,7064244,0.4867056710379464,1992654,0.8552119663783482
adamw_grpo_fp32,AdamW + GRPO (FP32),26,up_proj,mlp,model.layers.26.mlp.up_proj.weight,13762560,13762079,481,3.4949893043201286e-05,2485904,11276656,0.8193719773065476,7605477,0.4473791939871652,2127477,0.8454156058175223
adamw_grpo_fp32,AdamW + GRPO (FP32),26,k_proj,attn,model.layers.26.self_attn.k_proj.weight,393216,393210,6,1.52587890625e-05,109506,283710,0.7215118408203125,244161,0.37906646728515625,96449,0.7547175089518229
adamw_grpo_fp32,AdamW + GRPO (FP32),26,o_proj,attn,model.layers.26.self_attn.o_proj.weight,2359296,2359226,70,2.9669867621540114e-05,497629,1861667,0.7890773349338107,1503683,0.3626560635036893,450157,0.8091985914442275
adamw_grpo_fp32,AdamW + GRPO (FP32),26,q_proj,attn,model.layers.26.self_attn.q_proj.weight,2359296,2359222,74,3.1365288628459886e-05,611352,1747944,0.740875244140625,1371637,0.4186244540744357,528789,0.7758700052897135
adamw_grpo_fp32,AdamW + GRPO (FP32),26,v_proj,attn,model.layers.26.self_attn.v_proj.weight,393216,393201,15,3.814697265625e-05,78068,315148,0.8014628092447916,255993,0.34897613525390625,70663,0.8202946980794271
adamw_grpo_fp32,AdamW + GRPO (FP32),27,down_proj,mlp,model.layers.27.mlp.down_proj.weight,13762560,13762136,424,3.080822172618625e-05,3003380,10759180,0.7817717052641369,7722469,0.43887844993954617,2585513,0.8121342976888021
adamw_grpo_fp32,AdamW + GRPO (FP32),27,gate_proj,mlp,model.layers.27.mlp.gate_proj.weight,13762560,13761944,616,4.4759114583348136e-05,2090535,11672025,0.848099844796317,6525919,0.5258208501906623,1679907,0.8779364449637277
adamw_grpo_fp32,AdamW + GRPO (FP32),27,up_proj,mlp,model.layers.27.mlp.up_proj.weight,13762560,13762037,523,3.800165085565688e-05,2309929,11452631,0.8321584792364212,7108332,0.48350219726562504,1921738,0.8603647867838542
adamw_grpo_fp32,AdamW + GRPO (FP32),27,k_proj,attn,model.layers.27.self_attn.k_proj.weight,393216,393215,1,2.5431315103796592e-06,126714,266502,0.6777496337890625,258536,0.34250895182291663,114297,0.7093276977539062
adamw_grpo_fp32,AdamW + GRPO (FP32),27,o_proj,attn,model.layers.27.self_attn.o_proj.weight,2359296,2359222,74,3.1365288628459886e-05,536166,1823130,0.7727432250976562,1403871,0.404961903889974,469942,0.8008126152886285
adamw_grpo_fp32,AdamW + GRPO (FP32),27,q_proj,attn,model.layers.27.self_attn.q_proj.weight,2359296,2359220,76,3.221299913191977e-05,618388,1740908,0.7378929985894097,1373527,0.41782336764865446,530451,0.7751655578613281
adamw_grpo_fp32,AdamW + GRPO (FP32),27,v_proj,attn,model.layers.27.self_attn.v_proj.weight,393216,393199,17,4.323323567712034e-05,90681,302535,0.7693862915039062,294590,0.25081888834635413,86403,0.7802658081054688
adamw_grpo_fp32,AdamW + GRPO (FP32),3,down_proj,mlp,model.layers.3.mlp.down_proj.weight,13762560,13762037,523,3.800165085565688e-05,2375822,11386738,0.8273706345331101,6485670,0.5287453787667411,1886601,0.8629178728376116
adamw_grpo_fp32,AdamW + GRPO (FP32),3,gate_proj,mlp,model.layers.3.mlp.gate_proj.weight,13762560,13761990,570,4.1416713169595276e-05,1979097,11783463,0.856197030203683,6368655,0.537247794015067,1561528,0.8865379696800595
adamw_grpo_fp32,AdamW + GRPO (FP32),3,up_proj,mlp,model.layers.3.mlp.up_proj.weight,13762560,13762055,505,3.6693754650318766e-05,2347616,11414944,0.8294201078869048,6505393,0.5273122878301711,1867464,0.8643083844866072
adamw_grpo_fp32,AdamW + GRPO (FP32),3,k_proj,attn,model.layers.3.self_attn.k_proj.weight,393216,393195,21,5.340576171875e-05,53382,339834,0.8642425537109375,174545,0.556109110514323,41112,0.89544677734375
adamw_grpo_fp32,AdamW + GRPO (FP32),3,o_proj,attn,model.layers.3.self_attn.o_proj.weight,2359296,2359233,63,2.6702880859375e-05,487627,1871669,0.7933167351616753,1157394,0.5094324747721355,391497,0.8340619405110677
adamw_grpo_fp32,AdamW + GRPO (FP32),3,q_proj,attn,model.layers.3.self_attn.q_proj.weight,2359296,2359190,106,4.4928656684040114e-05,388811,1970485,0.8352004157172309,1036492,0.5606774224175347,297433,0.8739314609103732
adamw_grpo_fp32,AdamW + GRPO (FP32),3,v_proj,attn,model.layers.3.self_attn.v_proj.weight,393216,393209,7,1.780192057287966e-05,77729,315487,0.8023249308268229,188342,0.5210215250651042,61799,0.8428370157877604
adamw_grpo_fp32,AdamW + GRPO (FP32),4,down_proj,mlp,model.layers.4.mlp.down_proj.weight,13762560,13762084,476,3.458658854171848e-05,2455179,11307381,0.8216044834681919,6538603,0.5248992193312871,1957720,0.8577503022693452
adamw_grpo_fp32,AdamW + GRPO (FP32),4,gate_proj,mlp,model.layers.4.mlp.gate_proj.weight,13762560,13761967,593,4.308791387652722e-05,1997234,11765326,0.8548791794549851,6392744,0.5354974655877975,1579085,0.8852622622535342
adamw_grpo_fp32,AdamW + GRPO (FP32),4,up_proj,mlp,model.layers.4.mlp.up_proj.weight,13762560,13762075,485,3.524053664438753e-05,2391804,11370756,0.8262093680245536,6554760,0.5237252371651786,1907360,0.8614095052083334
adamw_grpo_fp32,AdamW + GRPO (FP32),4,k_proj,attn,model.layers.4.self_attn.k_proj.weight,393216,393199,17,4.323323567712034e-05,55331,337885,0.8592859903971354,177126,0.5495452880859375,42830,0.8910776774088541
adamw_grpo_fp32,AdamW + GRPO (FP32),4,o_proj,attn,model.layers.4.self_attn.o_proj.weight,2359296,2359205,91,3.8570827908035454e-05,453756,1905540,0.8076731363932291,1145352,0.5145365397135417,363248,0.8460354275173612
adamw_grpo_fp32,AdamW + GRPO (FP32),4,q_proj,attn,model.layers.4.self_attn.q_proj.weight,2359296,2359203,93,3.941853841149534e-05,374794,1984502,0.841141594780816,1071006,0.5460484822591145,290967,0.876672108968099
adamw_grpo_fp32,AdamW + GRPO (FP32),4,v_proj,attn,model.layers.4.self_attn.v_proj.weight,393216,393203,13,3.306070963537966e-05,67128,326088,0.82928466796875,188228,0.5213114420572917,53566,0.8637746175130209
adamw_grpo_fp32,AdamW + GRPO (FP32),5,down_proj,mlp,model.layers.5.mlp.down_proj.weight,13762560,13762092,468,3.400530133923496e-05,2551467,11211093,0.8146081107003348,6678634,0.5147244408017113,2053696,0.850776599702381
